title,genre,budget,runtime,year,month,revenue
The Losers,Action,25000000,97.0,2010,4,23580000
Outbreak,Action,50000000,127.0,1995,3,189859560
Star Trek: Nemesis,Science Fiction,60000000,117.0,2002,12,67312826
Flightplan,Thriller,55000000,98.0,2005,9,223387299
Carrie,Drama,30000000,100.0,2013,10,82394288
Don't Be Afraid of the Dark,Fantasy,25000000,99.0,2010,11,36993168
Moneyball,Drama,50000000,133.0,2011,9,110206216
Bolt,Animation,150000000,98.0,2008,11,309979994
Flight of the Intruder,Action,35000000,115.0,1991,1,0
As Good as It Gets,Comedy,50000000,139.0,1997,12,314178011
Accidental Love,Romance,26000000,100.0,2015,2,0
Parental Guidance,Comedy,25000000,104.0,2012,12,119772232
Nanny McPhee,Fantasy,25000000,97.0,2005,10,122489822
The Thin Red Line,Drama,52000000,170.0,1998,12,98126565
Baahubali: The Beginning,Action,40000000,159.0,2015,7,100000000
Wing Commander,Action,30000000,100.0,1999,3,0
Black Rain,Action,30000000,125.0,1989,9,45892212
Get Shorty,Comedy,30250000,105.0,1995,10,115101622
Dumb and Dumber To,Comedy,40000000,110.0,2014,11,169837010
The Da Vinci Code,Thriller,125000000,149.0,2006,5,767820459
Kill Bill: Vol. 1,Action,30000000,111.0,2003,10,180949000
The 33,Drama,25000000,120.0,2015,8,24902723
Aliens vs Predator: Requiem,Fantasy,40000000,94.0,2007,12,41797066
Night at the Museum,Action,110000000,108.0,2006,10,574480841
Mission: Impossible - Ghost Protocol,Action,145000000,133.0,2011,12,694713380
Down to Earth,Fantasy,0,87.0,2001,2,0
Because I Said So,Comedy,0,102.0,2007,2,69485490
Bringing Out the Dead,Drama,32000000,121.0,1999,10,0
Stardust,Adventure,70000000,127.0,2007,8,135560026
Winnie the Pooh,Animation,30000000,63.0,2011,4,14460000
Analyze This,Comedy,80000000,103.0,1999,3,176885658
Shrek 2,Adventure,150000000,93.0,2004,5,919838758
The Beach,Drama,40000000,119.0,2000,2,144056873
Wolf,Fantasy,0,125.0,1994,6,0
Cellular,Action,25000000,94.0,2004,9,56422687
Creed,Drama,37000000,133.0,2015,11,173567581
The Hobbit: The Desolation of Smaug,adventure,250000000,161.0,2013,12,958400000
Fantasia 2000,Animation,80000000,74.0,1999,12,90874570
Bullet to the Head,Action,55000000,92.0,2013,1,9489829
Final Destination 3,Horror,25000000,93.0,2006,2,117719158
The Princess and the Frog,Romance,105000000,97.0,2009,12,267045765
The Impossible,Thriller,42000000,113.0,2012,9,180274123
Liar Liar,Comedy,45000000,86.0,1997,3,181000000
Road to Perdition,Thriller,80000000,117.0,2002,7,181001478
A Beautiful Mind,Drama,60000000,135.0,2001,12,313542341
Space Pirate Captain Harlock,Animation,30000000,115.0,2013,9,17137302
Disclosure,Drama,55000000,123.0,1994,12,214015089
The Dark Knight Rises,Action,250000000,165.0,2012,7,1084939099
Hackers,Action,20000000,107.0,1995,9,7563728
The Taking of Pelham 1 2 3,Thriller,100000000,106.0,2009,6,150166126
The Matrix Revolutions,Adventure,150000000,129.0,2003,11,424988211
Hard Rain,Thriller,70000000,97.0,1998,1,19870567
The World's Fastest Indian,Drama,25000000,127.0,2005,10,0
Alvin and the Chipmunks: The Road Chip,Adventure,0,92.0,2015,12,233755553
A Bug's Life,Adventure,120000000,95.0,1998,11,363258859
Basic,Action,50000000,98.0,2003,4,42792561
Saving Private Ryan,Drama,70000000,169.0,1998,7,481840909
Deep Blue Sea,Action,60000000,105.0,1999,7,73648228
Hoodwinked Too! Hood VS. Evil,Comedy,30000000,86.0,2011,4,13521829
Thunder and the House of Magic,,34000000,85.0,2013,12,0
Fun with Dick and Jane,Comedy,100000000,90.0,2005,12,202026112
The Edge,Action,0,117.0,1997,9,43312294
Dracula Untold,Horror,70000000,92.0,2014,10,215529201
Cirque du Soleil: Worlds Away,Fantasy,0,91.0,2012,11,34153101
"Legally Blonde 2: Red, White & Blonde",Comedy,45000000,95.0,2003,7,124914842
Autumn in New York,Drama,65000000,103.0,2000,8,0
Salt,Action,110000000,100.0,2010,7,293329073
Racing Stripes,Comedy,30000000,102.0,2005,1,93772522
The Green Hornet,Action,120000000,119.0,2011,1,227817248
Extreme Measures,Drama,38000000,118.0,1996,9,17380126
Couples Retreat,Comedy,70000000,113.0,2009,9,171844840
Resident Evil,Horror,33000000,100.0,2002,3,102984862
The Lincoln Lawyer,Crime,40000000,119.0,2011,3,85412898
U-571,Action,62000000,116.0,2000,4,127666415
I Am Legend,Drama,150000000,101.0,2007,12,585349010
Hope Floats,Drama,0,114.0,1998,5,0
Flash Gordon,Science Fiction,35000000,111.0,1980,9,27107960
American Reunion,Comedy,50000000,113.0,2012,4,234989584
Ever After: A Cinderella Story,Drama,26000000,121.0,1998,7,65705772
Collateral,Drama,65000000,120.0,2004,8,217764291
The Three Stooges,Comedy,30000000,92.0,2012,4,54819301
Taken,Action,25000000,93.0,2008,2,226830568
2 Fast 2 Furious,Action,76000000,107.0,2003,6,236350661
R.I.P.D.,Fantasy,130000000,96.0,2013,7,61648500
Noah,Drama,125000000,139.0,2014,3,362637473
Arachnophobia,Comedy,31000000,103.0,1990,8,53208180
Finding Forrester,Drama,43000000,136.0,2000,12,80049764
Son of the Mask,Fantasy,84000000,94.0,2005,2,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,143.0,2005,12,748806957
16 Blocks,Action,55000000,105.0,2006,3,65664721
Super 8,Thriller,50000000,112.0,2011,6,260095987
Now You See Me,Thriller,75000000,115.0,2013,5,117698894
The Horse Whisperer,Drama,60000000,170.0,1998,5,186883563
Charlie St. Cloud,Drama,44000000,99.0,2010,5,48190704
Gremlins 2: The New Batch,Comedy,50000000,106.0,1990,6,41482207
The Back-Up Plan,Comedy,35000000,106.0,2010,4,77477008
In Good Company,Comedy,0,109.0,2004,12,0
Street Fighter: The Legend of Chun-Li,Action,50000000,97.0,2009,2,12764201
Heist,Crime,8900000,93.0,2015,11,4100000
The Thief and the Cobbler,Adventure,28000000,72.0,1993,9,669276
Harry Potter and the Chamber of Secrets,Adventure,100000000,161.0,2002,11,876688482
Jersey Boys,,40000000,134.0,2014,6,67347013
Shrek,Adventure,60000000,90.0,2001,5,484409218
Focus,Romance,50100000,105.0,2015,2,153962963
Showgirls,Drama,45000000,128.0,1995,9,20350754
Three Kings,Action,75000000,114.0,1999,9,108000000
Hook,Adventure,70000000,144.0,1991,12,300854823
The 6th Day,Science Fiction,82000000,123.0,2000,11,96085477
Malcolm X,Drama,34000000,202.0,1992,11,48169908
The Book of Eli,Action,80000000,118.0,2010,1,157107755
Jimmy Neutron: Boy Genius,Action,25000000,83.0,2001,12,80936232
Black Water Transit,Drama,0,100.0,2009,5,0
Con Air,Action,75000000,115.0,1997,6,224012234
Mean Streets,Drama,500000,110.0,1973,10,3000000
What's the Worst That Could Happen?,Action,45000000,94.0,2001,5,0
Super Mario Bros.,Adventure,48000000,104.0,1993,5,20915465
The Hunt for Red October,Action,30000000,134.0,1990,3,199200000
Happy Feet Two,Animation,130000000,100.0,2011,11,150406466
A Monster in Paris,Adventure,25000000,90.0,2011,10,0
88 Minutes,Crime,30000000,108.0,2007,2,16930884
Frankenweenie,Animation,39000000,87.0,2012,10,35287788
The Bridge of San Luis Rey,Romance,0,120.0,2004,1,0
The Royal Tenenbaums,Comedy,21000000,110.0,2001,10,71441250
Double Jeopardy,Crime,70000000,105.0,1999,9,177841558
Need for Speed,Action,66000000,130.0,2014,3,203277636
Spider-Man 3,Fantasy,258000000,139.0,2007,5,890871626
Town & Country,Comedy,90000000,104.0,2001,4,10372291
Cliffhanger,Action,70000000,112.0,1993,5,255000211
Lucky Numbers,Action,65000000,105.0,2000,10,0
Jonah Hex,Action,47000000,80.0,2010,6,10539000
The Firm,Drama,42000000,154.0,1993,6,270248367
Windtalkers,Drama,115000000,134.0,2002,6,77628265
Legend of the Guardians: The Owls of Ga'Hoole,Animation,80000000,97.0,2010,7,140073390
Galaxy Quest,Comedy,45000000,102.0,1999,12,90683916
The Chronicles of Narnia: Prince Caspian,adventure,225000000,150.0,2008,5,419651413
The Manchurian Candidate,Drama,80000000,129.0,2004,7,96105964
Casino,Drama,52000000,178.0,1995,11,116112375
Alatriste,Action,24000000,145.0,2006,9,23321954
You Don't Mess with the Zohan,Comedy,90000000,113.0,2008,6,201596308
High Crimes,Drama,42000000,115.0,2002,4,63781810
The Bodyguard,Thriller,25000000,129.0,1992,11,411006740
Return to Me,Romance,24000000,115.0,2000,4,36609995
The Island,Action,126000000,136.0,2005,7,162949164
Clockstoppers,Adventure,26000000,94.0,2002,3,38793283
Dark Shadows,Comedy,150000000,113.0,2012,5,245527149
Bad Boys II,Adventure,130000000,147.0,2003,7,273339556
Pixels,Action,88000000,105.0,2015,7,243637091
15 Minutes,Action,60000000,120.0,2001,3,56359980
Dragon Nest: Warriors' Dawn,Adventure,40000000,88.0,2014,5,0
Man of the House,Comedy,40000000,100.0,2005,2,0
Two Brothers,Adventure,74500000,109.0,2004,4,62172050
Volcano,Science Fiction,90000000,104.0,1997,4,0
The Thing,Horror,15000000,109.0,1982,6,19629760
Fool's Gold,Romance,70000000,112.0,2008,2,111231041
Rugrats in Paris: The Movie,Adventure,30,78.0,2000,9,103
Deep Impact,Action,75000000,120.0,1998,5,140464664
The Men Who Stare at Goats,Comedy,24000000,93.0,2009,10,68729358
The Horseman on the Roof,,35000000,135.0,1995,9,15000000
London Has Fallen,Action,60000000,99.0,2016,3,205754447
Syriana,Drama,50000000,128.0,2005,11,94000000
Gothika,Horror,40000000,98.0,2003,11,141591324
Money Monster,Thriller,27000000,98.0,2016,5,93282604
AVP: Alien vs. Predator,Adventure,70000000,101.0,2004,8,171183863
Master and Commander: The Far Side of the World,Adventure,150000000,138.0,2003,11,212011111
The Crow,Fantasy,15000000,102.0,1994,5,94000000
True Grit,Drama,38000000,110.0,2010,12,252276927
Your Highness,Comedy,49900000,102.0,2011,4,26121638
The Addams Family,Horror,30000000,99.0,1991,11,191502426
Life or Something Like It,Comedy,40000000,103.0,2002,4,16872671
Kung Fu Panda 2,Animation,150000000,91.0,2011,5,665692281
Æon Flux,Action,62000000,93.0,2005,11,52304001
Pride and Prejudice and Zombies,Romance,28000000,108.0,2016,2,16374328
The Master,Drama,32000000,137.0,2012,9,28258060
Unknown,Action,30000000,113.0,2011,2,130786397
The Mirror Has Two Faces,Comedy,42000000,126.0,1996,11,0
Open Range,,22000000,139.0,2003,8,68296293
Lake Placid,Horror,27000000,82.0,1999,7,56870414
Krull,Fantasy,27000000,117.0,1983,7,16519460
Sherlock Holmes,Action,90000000,128.0,2009,12,524028679
Unbroken,Drama,65000000,137.0,2014,12,163442937
What Lies Beneath,Drama,100000000,130.0,2000,7,155464351
Riddick,Science Fiction,38000000,119.0,2013,9,98337295
"You, Me and Dupree",Comedy,54000000,108.0,2006,7,130431368
Seven Pounds,Drama,55000000,123.0,2008,12,168167691
Star Wars: Episode II - Attack of the Clones,Adventure,120000000,142.0,2002,5,649398328
Hart's War,Drama,70000000,125.0,2002,2,32287044
Star Trek: Generations,Science Fiction,38000000,118.0,1994,11,120000000
Blood Work,Crime,50000000,110.0,2002,8,26199517
Into the Storm,Action,50000000,89.0,2014,8,160602194
Harry Potter and the Half-Blood Prince,adventure,250000000,153.0,2009,7,933959197
Mission: Impossible II,Adventure,125000000,123.0,2000,5,546388105
A Madea Christmas,Comedy,0,100.0,2013,12,0
Deliver Us from Evil,Thriller,30000000,118.0,2014,7,0
Space Dogs,,25000000,85.0,2010,3,6500000
The Last Emperor,Drama,23000000,163.0,1987,10,43984230
Black Knight,Adventure,0,95.0,2001,11,0
The Grey,Action,25000000,117.0,2012,1,77278331
The Polar Express,Adventure,165000000,100.0,2004,11,305875730
Shrek the Third,Fantasy,160000000,93.0,2007,5,798958165
Flight of the Phoenix,Action,45000000,113.0,2004,12,21009180
Titanic,Drama,200000000,194.0,1997,11,1845034188
The Naked Gun 2½: The Smell of Fear,Comedy,23000000,85.0,1991,6,86930411
Up Close & Personal,Drama,60000000,119.0,1996,3,0
X-Men: First Class,Action,160000000,132.0,2011,5,353624124
Anchorman: The Legend of Ron Burgundy,Comedy,26000000,94.0,2004,7,90574188
District 9,Science Fiction,30000000,112.0,2009,8,210819611
Ransom,Action,80000000,117.0,1996,11,309492681
Man on a Ledge,Action,42000000,102.0,2012,1,46221189
Licence to Kill,Adventure,32000000,133.0,1989,7,156167015
Cats Don't Dance,Animation,32000000,75.0,1997,3,3566637
Duplicity,Romance,78146652,125.0,2009,3,60000000
She's the Man,Comedy,20000000,105.0,2006,3,33889159
Contagion,Drama,60000000,106.0,2011,9,137551594
The Core,Action,60000000,136.0,2003,3,74208267
Star Trek: The Motion Picture,Science Fiction,35000000,132.0,1979,12,139000000
Invictus,Drama,60000000,134.0,2009,12,122233971
Baby Mama,Comedy,30000000,99.0,2008,4,63833449
Morning Glory,Comedy,40000000,102.0,2010,1,58785180
Planet of the Apes,Thriller,100000000,119.0,2001,7,362211740
Ace Ventura: When Nature Calls,Crime,30000000,90.0,1995,11,212385533
Mumford,Comedy,0,112.0,1999,9,0
The Other Woman,Comedy,40000000,109.0,2014,4,196781193
Paycheck,Action,60000000,119.0,2003,12,96269812
Death to Smoochy,Comedy,55000000,109.0,2002,3,0
Just My Luck,Comedy,28000000,103.0,2006,5,38159905
RED,Action,58000000,111.0,2010,10,71664962
Cleopatra,Drama,31115000,248.0,1963,6,71000000
Shrek Forever After,Comedy,165000000,93.0,2010,5,752600867
Carnage,Comedy,25000000,80.0,2011,9,27603069
Just Like Heaven,Comedy,58000000,95.0,2005,9,102854431
The Last Legion,Action,67000000,102.0,2007,4,25303038
Extreme Ops,Action,40000000,93.0,2002,11,10959475
Bandidas,Action,35000000,93.0,2006,1,10496317
Supercross,Action,0,80.0,2005,8,3102550
The Peacemaker,Action,50000000,124.0,1997,9,0
Transformers: Age of Extinction,Science Fiction,210000000,165.0,2014,6,1091405097
Se7en,Crime,33000000,127.0,1995,9,327311859
King Kong,adventure,207000000,187.0,2005,12,550000000
Revolutionary Road,Drama,35000000,119.0,2008,12,75225693
The Wolfman,Drama,150000000,102.0,2010,2,0
Angels & Demons,Thriller,150000000,138.0,2009,5,356613439
Priest,Action,60000000,87.0,2011,5,78309131
Step Up 3D,Drama,30000000,107.0,2010,8,159291809
Harry Potter and the Half-Blood Prince,adventure,250000000,153.0,2009,7,933959197
Looper,Action,30000000,118.0,2012,9,47042000
The Untouchables,Crime,25000000,119.0,1987,6,76270454
The Good German,,32000000,108.0,2006,12,5914908
Olympus Has Fallen,Action,70000000,120.0,2013,3,161025640
2012,Action,200000000,158.0,2009,10,769653595
Hellboy,Fantasy,66000000,122.0,2004,4,99318987
The House Bunny,Romance,25000000,97.0,2008,8,70442940
Joy,Drama,60000000,124.0,2015,12,101134059
Gone Girl,,61000000,145.0,2014,10,369330363
That's My Boy,Comedy,70000000,116.0,2012,6,58058367
Waterworld,Adventure,175000000,135.0,1995,7,264218220
The NeverEnding Story,Drama,27000000,102.0,1984,4,20158808
The Constant Gardener,Drama,25000000,129.0,2005,8,82466670
The Good Thief,Crime,0,108.0,2003,4,0
Oceans,,0,84.0,2009,10,19406406
The Pirates! In an Adventure with Scientists!,Animation,60000000,88.0,2012,3,118338361
Maleficent,Fantasy,180000000,97.0,2014,5,758539785
Donnie Brasco,Crime,35000000,127.0,1997,2,41954997
Fever Pitch,Comedy,30000000,103.0,2005,4,50451307
The 13th Warrior,Adventure,160000000,102.0,1999,8,61698899
The Last Shot,Action,0,90.0,2004,9,0
Hanging Up,Comedy,40000000,94.0,2000,2,36037909
Lions for Lambs,Action,35000000,92.0,2007,10,63215872
Transformers,Adventure,150000000,144.0,2007,6,709709780
Enemy at the Gates,,68000000,131.0,2001,3,96976270
Jason Bourne,Action,120000000,123.0,2016,7,415484914
"Big Mommas: Like Father, Like Son",Crime,32000000,107.0,2011,2,83615414
The Merchant of Venice,Drama,0,138.0,2004,9,0
Gattaca,Thriller,36000000,106.0,1997,9,12532777
The Dukes of Hazzard,Action,50000000,104.0,2005,8,110803676
Night at the Museum: Battle of the Smithsonian,Adventure,150000000,105.0,2009,5,413106170
Southpaw,Action,30000000,123.0,2015,6,91709827
Foodfight!,Animation,65000000,87.0,2012,6,73706
After the Sunset,Action,60000000,97.0,2004,11,61347797
Hercules,Action,100000000,99.0,2014,7,243400000
Goal!: The Dream Begins,Drama,30000000,118.0,2005,6,27610873
Around the World in 80 Days,Action,110000000,120.0,2004,6,72178895
Captain America: The First Avenger,Action,140000000,124.0,2011,7,370569774
On Deadly Ground,Action,50000000,102.0,1994,2,49000000
Happy Feet,Animation,100000000,108.0,2006,11,384335608
Executive Decision,Action,55000000,133.0,1996,3,121969216
Savva. Heart of the Warrior,Fantasy,30000000,85.0,2015,11,0
A Turtle's Tale: Sammy's Adventures,Animation,0,88.0,2010,8,0
Radio,Drama,32000000,109.0,2003,10,52277485
A League of Their Own,Comedy,40000000,128.0,1992,7,107458785
The Life of David Gale,Drama,50000000,130.0,2003,2,38955598
Flipper,Adventure,25530000,95.0,1996,5,20080020
Repo Men,Action,32000000,111.0,2010,3,18409891
The Girl with the Dragon Tattoo,Thriller,90000000,158.0,2011,12,232617430
Proof of Life,Action,65000000,135.0,2000,12,0
Flight,Drama,31000000,138.0,2012,11,161772375
Goosebumps,Adventure,58000000,103.0,2015,8,158162788
Night at the Museum: Secret of the Tomb,Adventure,127000000,97.0,2014,12,349424282
Star Wars: Episode III - Revenge of the Sith,Science Fiction,113000000,140.0,2005,5,850000000
The Last Stand,Action,30000000,107.0,2013,1,0
Changeling,Crime,55000000,141.0,2008,1,113020255
Gigli,Drama,54000000,121.0,2003,8,7266209
The Haunted Mansion,Thriller,90000000,99.0,2003,11,182290266
Ray,Drama,40000000,152.0,2004,10,124731534
Mirrors,Horror,35000000,110.0,2008,8,72436439
Madagascar: Escape 2 Africa,,150000000,89.0,2008,10,603900354
Lone Survivor,Action,40000000,121.0,2013,12,149295601
Amélie,Comedy,10000000,122.0,2001,4,173921954
Cirque du Freak: The Vampire's Assistant,Adventure,40000000,109.0,2009,10,28169671
Stuart Little 2,,120000000,78.0,2002,7,169956806
The Interpreter,Crime,80000000,128.0,2005,4,162944923
Blindness,Drama,25000000,121.0,2008,5,19844979
The Great Raid,Action,80000000,132.0,2005,8,10166502
Rent,Drama,40000000,135.0,2005,11,31670620
The BFG,Adventure,140000000,120.0,2016,6,183345589
How to Lose a Guy in 10 Days,Comedy,50000000,116.0,2003,2,177371441
Martian Child,Drama,0,106.0,2007,11,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction,25000000,88.0,1991,3,78000000
Jurassic Park III,Adventure,93000000,92.0,2001,7,368780809
2 Guns,Action,61000000,109.0,2013,8,131940411
The Patriot,Drama,110000000,165.0,2000,6,215294342
xXx,Action,70000000,124.0,2002,8,277448382
Cutthroat Island,Action,98000000,119.0,1995,12,10017322
The Bad News Bears,Comedy,35000000,102.0,1976,4,35323292
Spanglish,Comedy,80000000,130.0,2004,12,55041367
Once Upon a Time in Mexico,Action,29000000,102.0,2003,9,98185582
Something Borrowed,Comedy,35000000,112.0,2011,5,59901913
Sheena,Action,25000000,117.0,1984,8,5778353
Scooby-Doo 2: Monsters Unleashed,,0,93.0,2004,3,181466833
Someone Like You...,Comedy,23000000,97.0,2001,3,0
Rio 2,Animation,103000000,102.0,2014,3,500188435
Kung Fu Panda,Adventure,130000000,90.0,2008,6,631744560
Die Hard: With a Vengeance,Action,90000000,128.0,1995,5,366101666
Wanderlust,Comedy,35000000,98.0,2012,2,24159934
The Karate Kid,Drama,8000000,126.0,1984,6,90815558
Resident Evil: Apocalypse,Horror,45000000,94.0,2004,9,129394835
The Spanish Prisoner,Crime,10000000,110.0,1997,9,13835130
The Day the Earth Stood Still,Drama,80000000,104.0,2008,12,233093859
Final Fantasy: The Spirits Within,Adventure,137000000,106.0,2001,7,85131830
Her,Romance,23000000,126.0,2013,12,47351251
Jurassic World,Action,150000000,124.0,2015,6,1513528810
Max Payne,Action,35000000,100.0,2008,10,85416905
"Monsters, Inc.",Animation,115000000,92.0,2001,11,562816256
Serving Sara,Comedy,29000000,100.0,2002,8,16930185
Don't Say a Word,Thriller,50000000,113.0,2001,9,100020092
Mighty Joe Young,Action,90000000,114.0,1998,12,0
Warrior,Action,25000000,140.0,2011,9,23057115
Message in a Bottle,Romance,80000000,131.0,1999,2,118880016
Tank Girl,Action,25000000,98.0,1995,3,4064495
The Stepford Wives,Action,90000000,93.0,2004,6,102000000
The Princess Diaries,Comedy,37000000,115.0,2001,8,165335153
Anna and the King,Drama,75000000,148.0,1999,12,0
The Rundown,Adventure,85000000,104.0,2003,9,80916492
Spy Kids: All the Time in the World,,27000000,89.0,2011,8,85564310
Mercury Rising,Action,60000000,111.0,1998,4,0
American Gangster,Drama,100000000,157.0,2007,11,266465037
Unfaithful,Thriller,50000000,124.0,2002,5,119137784
Turbulence,Action,55000000,100.0,1997,1,11466088
The Passion of the Christ,Drama,30000000,127.0,2004,2,611899420
Virgin Territory,Adventure,38000000,93.0,2007,12,5410749
W.,Drama,25100000,131.0,2008,10,29506464
Serenity,Science Fiction,39000000,119.0,2005,8,38869464
The Shipping News,Drama,0,111.0,2001,12,0
The Road,Adventure,32000000,111.0,2009,11,27635305
Space Chimps,Animation,37000000,81.0,2008,7,63800345
Beautiful Creatures,Fantasy,60000000,124.0,2013,2,60052138
This Is the End,Action,32000000,107.0,2013,6,126041322
Phenomenon,Drama,32000000,123.0,1996,7,152036382
Maze Runner: The Scorch Trials,Action,61000000,132.0,2015,9,311256926
Silent Hill,Horror,50000000,125.0,2006,4,97607453
Babe,Fantasy,30000000,89.0,1995,7,254134910
Parker,Action,35000000,118.0,2013,1,46216641
George and the Dragon,Adventure,32000000,93.0,2004,3,0
Friends with Benefits,Romance,35000000,109.0,2011,7,150483765
Ghosts of Mars,Action,28000000,98.0,2001,8,14010832
Marley & Me,Comedy,60000000,115.0,2008,12,244082376
Eyes Wide Shut,,65000000,159.0,1999,7,162091208
Think Like a Man Too,Comedy,24000000,105.0,2014,6,70181428
The Grand Budapest Hotel,Comedy,30000000,99.0,2014,2,174600318
The Number 23,Thriller,30000000,101.0,2007,2,77566815
The Lone Ranger,Action,255000000,149.0,2013,7,89289910
Beowulf,Adventure,70000000,115.0,2007,11,195735876
Eastern Promises,Thriller,51500000,100.0,2007,9,55112356
Drag Me to Hell,Horror,30000000,99.0,2009,3,90810892
Victor Frankenstein,Drama,40000000,109.0,2015,11,34227298
The Mummy: Tomb of the Dragon Emperor,Adventure,145000000,112.0,2008,7,401128639
In Time,Action,40000000,109.0,2011,10,173930596
The Juror,Drama,44000000,118.0,1996,2,0
Chain Reaction,Action,50000000,107.0,1996,8,60209334
Love & Other Drugs,Drama,30000000,112.0,2010,11,102820008
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,135000000,112.0,2016,6,245623848
The Tooth Fairy,Horror,0,0.0,2006,8,0
Sunshine,Science Fiction,50000000,107.0,2007,4,32017803
One True Thing,Drama,0,127.0,1998,9,0
Casino Royale,Adventure,150000000,144.0,2006,11,599045960
Journey to the Center of the Earth,Action,45000000,93.0,2008,7,101702060
Ip Man 3,Action,36000000,105.0,2015,12,156844753
Tower Heist,Action,75000000,104.0,2011,11,152930623
Charlotte's Web,Comedy,85000000,97.0,2006,12,144000000
Suicide Squad,Action,175000000,123.0,2016,8,745000000
